#Types Before Cut: 11091
#Types After Cut: 9693
#Search Hits: 0
242	13	34.293	мать
243	13	34.293	сижу
244	13	34.293	спать
245	13	34.293	твои
246	13	34.293	учились
247	20	33.621	другому
248	17	33.303	пошла
249	15	32.710	будешь
250	15	32.710	понял
251	15	32.710	поняла
252	28	32.461	таки
253	34	32.344	голос
254	24	32.300	принципе
255	18	32.125	дом
256	49	31.684	всегда
257	12	31.655	берег
258	12	31.655	весело
259	12	31.655	детстве
260	12	31.655	квартиру
261	12	31.655	круто
262	12	31.655	любят
263	12	31.655	поговорить
264	12	31.655	пятьдесят
265	12	31.655	смешно
266	113	31.567	даже
267	16	30.894	школа
268	16	30.894	языке
269	20	30.850	дочка
270	21	30.526	хоть
271	21	30.526	язык
272	36	30.376	две
273	14	30.205	домой
274	17	29.803	давайте
275	11	29.017	inan
276	11	29.017	давали
277	11	29.017	девочки
278	11	29.017	девяносто
279	11	29.017	здорово
280	11	29.017	знала
281	11	29.017	кадра
282	11	29.017	классно
283	11	29.017	кхм
284	11	29.017	понимаешь
285	11	29.017	расскажу
286	11	29.017	рассказчик
287	11	29.017	смеётся
288	11	29.017	смотри
289	11	29.017	соседка
290	11	29.017	училась
291	11	29.017	холодно
292	19	28.669	младший
293	26	28.657	самое
294	26	28.657	смысле
295	15	28.498	играть
296	21	28.262	жить
297	13	27.711	концерт
298	13	27.711	семья
299	13	27.711	ходить
300	13	27.711	честно
301	17	26.884	моей
302	18	26.509	понимаю
303	10	26.379	бывают
304	10	26.379	вкус
305	10	26.379	восемьдесят
306	10	26.379	дед
307	10	26.379	дедушка
308	10	26.379	ехать
309	10	26.379	забыл
310	10	26.379	иии
311	10	26.379	картинка
312	10	26.379	кашель
313	10	26.379	нуу
314	10	26.379	озеро
315	10	26.379	пол
316	10	26.379	прикольно
317	10	26.379	ребята
318	10	26.379	своё
319	10	26.379	слушай
320	10	26.379	смешок
321	10	26.379	собака
322	10	26.379	ушёл
323	19	26.301	н
324	19	26.301	слово
325	22	26.284	какую
326	22	26.284	часов
327	14	26.119	собственно
328	156	25.884	или
329	27	25.812	моя
330	12	25.227	вдруг
331	12	25.227	делаю
332	12	25.227	купил
333	15	25.216	ж
334	39	25.059	людей
335	16	24.680	видео
336	16	24.680	читать
337	20	24.234	друг
338	20	24.234	места
339	18	24.225	тему
340	35	24.216	четыре
341	29	23.881	старший
342	146	23.851	был
343	13	23.758	какими
344	13	23.758	маленький
345	13	23.758	машина
346	13	23.758	смотреть
347	9	23.741	n
348	9	23.741	ар
349	9	23.741	видишь
350	9	23.741	грустный
351	9	23.741	двенадцать
352	9	23.741	двести
353	9	23.741	кошки
354	9	23.741	папа
355	9	23.741	переехали
356	9	23.741	подожди
357	9	23.741	смесь
358	9	23.741	танцами
359	9	23.741	твой
360	9	23.741	учителя
361	9	23.741	чай
362	9	23.741	эмм
363	50	23.630	день
364	27	23.100	каждый
365	14	22.954	d
366	14	22.954	вещи
367	14	22.954	мои
368	14	22.954	хотелось
369	11	22.756	квартире
370	21	22.634	долго
371	16	22.266	девять
372	28	22.265	совсем
373	18	22.191	русский
374	17	22.176	кем
375	36	21.750	одна
376	29	21.540	сама
377	12	21.417	нравятся
378	8	21.103	acc
379	8	21.103	komm
380	8	21.103	nom
381	8	21.103	ааa
382	8	21.103	английский
383	8	21.103	брови
384	8	21.103	вертолет
385	8	21.103	говорящийа
386	8	21.103	говорящийб
387	8	21.103	грустно
388	8	21.103	делаешь
389	8	21.103	егэ
390	8	21.103	замечательно
391	8	21.103	звук
392	8	21.103	иду
393	8	21.103	интересного
394	8	21.103	колесико
395	8	21.103	любишь
396	8	21.103	лёва
397	8	21.103	мамой
398	8	21.103	мемы
399	8	21.103	моих
400	8	21.103	надя
401	8	21.103	неудобно
402	8	21.103	никит
403	8	21.103	одиннадцать
